C1orf109_2	ENSG00000116922
CDCA8_1	ENSG00000134690
EPHA10_1	ENSG00000183317
MANEAL_1	ENSG00000185090
C1orf122_2	ENSG00000197982
YRDC_1	ENSG00000196449
C1orf122_1	ENSG00000197982
MTF1_1	ENSG00000188786
INPP5B_1	ENSG00000204084
SF3A3_1	ENSG00000183431
SF3A3_3	ENSG00000183431
FHL3_1	ENSG00000183386
SF3A3_2	ENSG00000183431
UTP11_1	ENSG00000183520
RRAGC_1	ENSG00000116954
AKIRIN1_2	ENSG00000174574
MYCBP_2	ENSG00000214114
MYCBP_1	ENSG00000214114
GJA9_1	ENSG00000131233
RHBDL2_2	ENSG00000158315
RHBDL2_1	ENSG00000158315
AKIRIN1_1	ENSG00000174574
NDUFS5_1	ENSG00000168653
BMP8A_1	ENSG00000183682
PABPC4_1	ENSG00000090621
HEYL_1	ENSG00000163909
HEYL_2	ENSG00000163909
NT5C1A_1	ENSG00000116981
HPCAL4_1	ENSG00000116983
HPCAL4_2	ENSG00000116983
BMP8B_1	ENSG00000116985
TRIT1_1	ENSG00000043514
MYCL_1	ENSG00000116990
MFSD2A_1	ENSG00000168389
CAP1_2	ENSG00000131236
CAP1_1	ENSG00000131236
PPT1_1	ENSG00000131238
RLF_1	ENSG00000117000
TMCO2_1	ENSG00000188800
ZMPSTE24_2	ENSG00000084073
ZMPSTE24_1	ENSG00000084073
COL9A2_1	ENSG00000049089
SMAP2_2	ENSG00000084070
SMAP2_1	ENSG00000084070
SMAP2_3	ENSG00000084070
ZFP69B_2	ENSG00000187801
ZFP69B_1	ENSG00000187801
ZFP69B_3	ENSG00000187801
ZFP69_1	ENSG00000187815
EXO5_1	ENSG00000164002
ZNF684_1	ENSG00000117010
ZNF684_2	ENSG00000117010
ZNF684_3	ENSG00000117010
RIMS3_2	ENSG00000117016
NFYC_1	ENSG00000066136
NFYC_3	ENSG00000066136
RIMS3_1	ENSG00000117016
NFYC_2	ENSG00000066136
KCNQ4_1	ENSG00000117013
CTPS1_2	ENSG00000171793
CTPS1_1	ENSG00000171793
SLFNL1_1	ENSG00000171790
SCMH1_2	ENSG00000010803
SCMH1_1	ENSG00000010803
EDN2_1	ENSG00000127129
HIVEP3_2	ENSG00000127124
GUCA2B_1	ENSG00000044012
GUCA2A_1	ENSG00000197273
FOXJ3_1	ENSG00000198815
FOXJ3_2	ENSG00000198815
RIMKLA_1	ENSG00000177181
CCDC30_3	ENSG00000186409
ZMYND12_1	ENSG00000066185
ZMYND12_2	ENSG00000066185
PPCS_1	ENSG00000127125
CCDC30_2	ENSG00000186409
CCDC30_4	ENSG00000186409
CCDC30_1	ENSG00000186409
CCDC30_5	ENSG00000186409
PPIH_1	ENSG00000171960
YBX1_1	ENSG00000065978
CLDN19_1	ENSG00000164007
P3H1_1	ENSG00000117385
C1orf50_1	ENSG00000164008
C1orf50_2	ENSG00000164008
C1orf50_3	ENSG00000164008
ERMAP_1	ENSG00000164010
SVBP_2	ENSG00000177868
ERMAP_2	ENSG00000164010
SVBP_1	ENSG00000177868
ZNF691_1	ENSG00000164011
SLC2A1_1	ENSG00000117394
TMEM125_2	ENSG00000179178
TMEM125_1	ENSG00000179178
C1orf210_1	ENSG00000253313
C1orf210_2	ENSG00000253313
TIE1_1	ENSG00000066056
MPL_1	ENSG00000117400
CDC20_1	ENSG00000117399
MED8_1	ENSG00000159479
SZT2_1	ENSG00000198198
HYI_2	ENSG00000178922
HYI_1	ENSG00000178922
PTPRF_2	ENSG00000142949
PTPRF_1	ENSG00000142949
KDM4A_1	ENSG00000066135
KDM4A_2	ENSG00000066135
KDM4A_3	ENSG00000066135
ST3GAL3_1	ENSG00000126091
ST3GAL3_4	ENSG00000126091
ST3GAL3_6	ENSG00000126091
